Período,Região ID,Valor
2004-01-15T00:00:00.000Z,12,17.26
2001-01-15T00:00:00.000Z,17,17.36
2008-01-15T00:00:00.000Z,17,17.39
2022-01-15T00:00:00.000Z,43,17.49
2007-01-15T00:00:00.000Z,21,17.51
2023-01-15T00:00:00.000Z,43,17.61
2002-01-15T00:00:00.000Z,15,17.67
2021-01-15T00:00:00.000Z,41,17.81
2020-01-15T00:00:00.000Z,41,17.82
2022-01-15T00:00:00.000Z,50,17.87
2001-01-15T00:00:00.000Z,43,17.9
2000-01-15T00:00:00.000Z,12,18.05
2005-01-15T00:00:00.000Z,12,18.12
2008-01-15T00:00:00.000Z,12,18.13
2003-01-15T00:00:00.000Z,43,18.14
2003-01-15T00:00:00.000Z,13,18.24
2002-01-15T00:00:00.000Z,23,18.25
2010-01-15T00:00:00.000Z,31,18.31
2000-01-15T00:00:00.000Z,41,18.32
2002-01-15T00:00:00.000Z,43,18.33
2018-01-15T00:00:00.000Z,53,18.36
2006-01-15T00:00:00.000Z,43,18.42
2013-01-15T00:00:00.000Z,22,18.45
2004-01-15T00:00:00.000Z,25,18.57
2020-01-15T00:00:00.000Z,43,18.61
2021-01-15T00:00:00.000Z,50,18.64
2018-01-15T00:00:00.000Z,22,18.68
2005-01-15T00:00:00.000Z,13,18.72
2004-01-15T00:00:00.000Z,43,18.73
2007-01-15T00:00:00.000Z,12,18.87
2011-01-15T00:00:00.000Z,43,18.87
2019-01-15T00:00:00.000Z,33,18.87
2009-01-15T00:00:00.000Z,31,18.92
2007-01-15T00:00:00.000Z,24,18.96
2017-01-15T00:00:00.000Z,22,18.99
2024-01-15T00:00:00.000Z,33,18.99
2005-01-15T00:00:00.000Z,43,19
2010-01-15T00:00:00.000Z,43,19
2024-01-15T00:00:00.000Z,17,19.02
2022-01-15T00:00:00.000Z,41,19.15
2019-01-15T00:00:00.000Z,43,19.35
2000-01-15T00:00:00.000Z,13,19.36
2018-01-15T00:00:00.000Z,50,19.48
2003-01-15T00:00:00.000Z,23,19.52
2004-01-15T00:00:00.000Z,23,19.57
2008-01-15T00:00:00.000Z,21,19.59
2024-01-15T00:00:00.000Z,12,19.65
2011-01-15T00:00:00.000Z,14,19.73
2008-01-15T00:00:00.000Z,31,19.76
2023-01-15T00:00:00.000Z,52,19.78
2015-01-15T00:00:00.000Z,22,19.93
2022-01-15T00:00:00.000Z,33,19.93
2001-01-15T00:00:00.000Z,12,19.99
2006-01-15T00:00:00.000Z,35,20.03
2020-01-15T00:00:00.000Z,22,20.17
2007-01-15T00:00:00.000Z,43,20.29
2018-01-15T00:00:00.000Z,41,20.29
2005-01-15T00:00:00.000Z,25,20.31
2009-01-15T00:00:00.000Z,12,20.38
2003-01-15T00:00:00.000Z,15,20.43
2005-01-15T00:00:00.000Z,29,20.46
2024-01-15T00:00:00.000Z,22,20.47
2003-01-15T00:00:00.000Z,31,20.54
2009-01-15T00:00:00.000Z,43,20.58
2017-01-15T00:00:00.000Z,31,20.67
2001-01-15T00:00:00.000Z,41,20.72
2005-01-15T00:00:00.000Z,23,20.78
2009-01-15T00:00:00.000Z,17,20.86
2000-01-15T00:00:00.000Z,52,21.04
2011-01-15T00:00:00.000Z,12,21.07
2013-01-15T00:00:00.000Z,43,21.07
2007-01-15T00:00:00.000Z,31,21.14
2022-01-15T00:00:00.000Z,52,21.19
2009-01-15T00:00:00.000Z,21,21.28
2011-01-15T00:00:00.000Z,31,21.32
2017-01-15T00:00:00.000Z,53,21.33
2006-01-15T00:00:00.000Z,13,21.37
2007-01-15T00:00:00.000Z,13,21.39
2016-01-15T00:00:00.000Z,22,21.43
2004-01-15T00:00:00.000Z,14,21.44
2023-01-15T00:00:00.000Z,22,21.51
2010-01-15T00:00:00.000Z,12,21.57
2006-01-15T00:00:00.000Z,31,21.59
2012-01-15T00:00:00.000Z,43,21.6
2005-01-15T00:00:00.000Z,35,21.63
2004-01-15T00:00:00.000Z,15,21.71
2006-01-15T00:00:00.000Z,23,21.72
2008-01-15T00:00:00.000Z,43,21.97
2005-01-15T00:00:00.000Z,31,22.01
2014-01-15T00:00:00.000Z,22,22.1
2015-01-15T00:00:00.000Z,31,22.11
2001-01-15T00:00:00.000Z,52,22.19
2023-01-15T00:00:00.000Z,33,22.23
2006-01-15T00:00:00.000Z,25,22.27
2000-01-15T00:00:00.000Z,28,22.39
2016-01-15T00:00:00.000Z,31,22.42
2004-01-15T00:00:00.000Z,31,22.54
2002-01-15T00:00:00.000Z,41,22.55
2006-01-15T00:00:00.000Z,12,22.66
2012-01-15T00:00:00.000Z,31,22.68
2005-01-15T00:00:00.000Z,14,22.69
2008-01-15T00:00:00.000Z,24,22.73
2021-01-15T00:00:00.000Z,22,22.85
2024-01-15T00:00:00.000Z,28,22.87
